Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Brigham Young University--Provo,http://premium.usnews.com/best-colleges/\%22/best-colleges/brigham-young-university-provo-3670\%22,"#62, National Universities",54.91%,3.8,1380 / 31
Brock University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brock-university-CA0002\%22,Unranked,N/A,N/A,N/A
Brown University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brown-university-3401\%22,"#14, National Universities",9.60%,N/A,1530 / 34
Bryan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryan-college-3536\%22,"#22, Regional Colleges (South)",52.03%,3.6,1275 / 26
Bryant University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryant-university-3402\%22,"#14, Regional Universities (North)",62.00%,3.3,1240 / 28
Bryn Athyn College of the New Church,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryn-athyn-college-of-the-new-church-3228\%22,"RNP, National Liberal Arts Colleges",45.39%,3.2,1120 / 32
Bryn Mawr College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bryn-mawr-college-3237\%22,"#30, National Liberal Arts Colleges",41.36%,N/A,1430 / 30
Bucknell University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bucknell-university-3238\%22,"#32, National Liberal Arts Colleges",26.99%,3.5,1390 / 31
Buena Vista University,http://premium.usnews.com/best-colleges/\%22/best-colleges/buena-vista-university-1847\%22,"#11, Regional Colleges (Midwest)",71.22%,3.4,1190 / 25
Burlington College,http://premium.usnews.com/best-colleges/\%22/best-colleges/burlington-college-12183\%22,"RNP, National Liberal Arts Colleges",86.07%,2.7,1250 / 28
Butler University,http://premium.usnews.com/best-colleges/\%22/best-colleges/butler-university-1788\%22,"#2, Regional Universities (Midwest)",65.89%,3.8,1280 / 30
Cabarrus College of Health Sciences,http://premium.usnews.com/best-colleges/\%22/best-colleges/cabarrus-college-of-health-sciences-6477\%22,Unranked,N/A,N/A,N/A
Cabrini College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cabrini-college-3241\%22,"#131, Regional Universities (North)",72.66%,3,1010 / 23
Cairn University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cairn-university-3351\%22,"RNP, Regional Universities (North)",72.10%,N/A,1140 / 26
Caldwell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/caldwell-college-2598\%22,"#126, Regional Universities (North)",61.41%,3.1,1020 / 21
California Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-baptist-university-1125\%22,"#42, Regional Universities (West)",73.29%,3.3,1090 / 23
California College of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-college-of-the-arts-1127\%22,"Unranked, Arts Schools",90.41%,3.2,1200 / 27
California Institute of Integral Studies,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-institute-of-integral-studies-12154\%22,"Unranked, National Universities",N/A,N/A,N/A
California Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-institute-of-technology-1131\%22,"#10, National Universities",11.76%,N/A,1580 / 35
California Institute of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-institute-of-the-arts-1132\%22,"Unranked, Arts Schools",30.49%,N/A,N/A
California Lutheran University,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-lutheran-university-1133\%22,"#18, Regional Universities (West)",47.26%,3.7,1210 / 27
California Maritime Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-maritime-academy-1134\%22,"#2, Regional Colleges (West)",75.08%,N/A,1185 / 26
California Polytechnic State University--San Luis Obispo,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-polytechnic-state-university-san-luis-obispo-1143\%22,"#9, Regional Universities (West)",31.25%,3.9,1330 / 30
California State Polytechnic University--Pomona,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-polytechnic-university-pomona-1144\%22,"#33, Regional Universities (West)",52.18%,3.4,1190 / 26
California State University--Bakersfield,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-bakersfield-7993\%22,"#90, Regional Universities (West)",66.95%,N/A,N/A
California State University--Channel Islands,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-channel-islands-39803\%22,"#66, Regional Universities (West)",53.82%,N/A,N/A
California State University--Chico,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-chico-1146\%22,"#42, Regional Universities (West)",79.18%,3.2,1120 / 24
California State University--Dominguez Hills,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-dominguez-hills-1141\%22,"RNP, Regional Universities (West)",86.96%,3.1,940 / 20
California State University--East Bay,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-east-bay-1138\%22,"#90, Regional Universities (West)",58.31%,3.1,1020 / 22
California State University--Fresno,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-fresno-1147\%22,"#36, Regional Universities (West)",58.15%,3.3,1040 / 22
California State University--Fullerton,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-fullerton-1137\%22,"#35, Regional Universities (West)",45.79%,3.4,1130 / 24
California State University--Long Beach,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-long-beach-1139\%22,"#32, Regional Universities (West)",30.85%,3.4,1140 / 24
California State University--Los Angeles,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-los-angeles-1140\%22,"RNP, Regional Universities (West)",67.52%,3.2,990 / 20
California State University--Monterey Bay,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-monterey-bay-32603\%22,"#66, Regional Universities (West)",44.40%,3.2,1080 / 24
California State University--Northridge,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-northridge-1153\%22,"#60, Regional Universities (West)",46.24%,3.2,1040 / 22
California State University--Sacramento,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-sacramento-1150\%22,"#66, Regional Universities (West)",69.68%,3.3,1060 / 22
California State University--San Bernardino,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-san-bernardino-1142\%22,"#57, Regional Universities (West)",58.30%,3.2,1000 / 20
California State University--San Marcos,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-san-marcos-30113\%22,"#70, Regional Universities (West)",61.92%,3.2,1070
California State University--Stanislaus,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-state-university-stanislaus-1157\%22,"#57, Regional Universities (West)",72.15%,3.3,1030 / 22
California University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/california-university-of-pennsylvania-3316\%22,"#135, Regional Universities (North)",59.14%,N/A,N/A
Calumet College of St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/calumet-college-of-st-joseph-1834\%22,"RNP, Regional Universities (Midwest)",32.97%,2.5,910 / 21
Calvary Bible College and Theological Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/calvary-bible-college-and-theological-seminary-2450\%22,Unranked,N/A,N/A,N/A
Calvin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/calvin-college-2241\%22,"#100, National Liberal Arts Colleges",75.55%,3.7,1360 / 30
Cambridge College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cambridge-college-21829\%22,"Unranked, Regional Universities (North)",63.55%,N/A,N/A
Cameron University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cameron-university-3150\%22,"RNP, Regional Universities (West)",99.62%,N/A,N/A / 23
Campbell University,http://premium.usnews.com/best-colleges/\%22/best-colleges/campbell-university-2913\%22,"#27, Regional Universities (South)",65.84%,3.8,1150 / 25
Campbellsville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/campbellsville-university-1959\%22,"#69, Regional Universities (South)",66.65%,3.2,1170 / 24
Canisius College,http://premium.usnews.com/best-colleges/\%22/best-colleges/canisius-college-2681\%22,"#27, Regional Universities (North)",73.88%,3.5,1190 / 28
Capella University,http://premium.usnews.com/best-colleges/\%22/best-colleges/capella-university-32673\%22,"Unranked, National Universities",N/A,N/A,N/A
Capital University,http://premium.usnews.com/best-colleges/\%22/best-colleges/capital-university-3023\%22,"#35, Regional Universities (Midwest)",74.92%,3.4,1200 / 27
Capitol College,http://premium.usnews.com/best-colleges/\%22/best-colleges/capitol-college-1436\%22,"Unranked, Engineering Schools",N/A,N/A,N/A
Cardinal Stritch University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cardinal-stritch-university-3837\%22,"RNP, National Universities",42.11%,3.1,1084 / 24
Caribbean University,http://premium.usnews.com/best-colleges/\%22/best-colleges/caribbean-university-12525\%22,Unranked,N/A,N/A,N/A
Carleton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/carleton-college-2340\%22,"#7, National Liberal Arts Colleges",25.55%,N/A,1520 / 33
Carleton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carleton-university-CA0003\%22,Unranked,N/A,N/A,N/A
Carlos Albizu University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carlos-albizu-university-10724\%22,Unranked,N/A,N/A,N/A
Carlow University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carlow-university-3303\%22,"RNP, Regional Universities (North)",65.14%,N/A,N/A
Carnegie Mellon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carnegie-mellon-university-3242\%22,"#23, National Universities",27.77%,3.7,1520 / 33
Carroll College,http://premium.usnews.com/best-colleges/\%22/best-colleges/carroll-college-2526\%22,"#1, Regional Colleges (West)",62.24%,3.5,1210 / 26
Carroll University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carroll-university-3838\%22,"#38, Regional Universities (Midwest)",78.21%,3.4,N/A / 26
Carson-Newman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/carson-newman-university-3481\%22,"#12, Regional Colleges (South)",65.58%,3.4,1115 / 25
Carthage College,http://premium.usnews.com/best-colleges/\%22/best-colleges/carthage-college-3839\%22,"#167, National Liberal Arts Colleges",70.10%,3.3,1280 / 27
Case Western Reserve University,http://premium.usnews.com/best-colleges/\%22/best-colleges/case-western-reserve-university-3024\%22,"#37, National Universities",54.32%,N/A,1480 / 33
Castleton State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/castleton-state-college-3683\%22,"RNP, National Liberal Arts Colleges",76.14%,2.9,1110 / 23
Catawba College,http://premium.usnews.com/best-colleges/\%22/best-colleges/catawba-college-2914\%22,"#17, Regional Colleges (South)",44.87%,3.3,1090 / 25
Cazenovia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cazenovia-college-2685\%22,"#23, Regional Colleges (North)",73.51%,3.2,1080 / 24
Cedar Crest College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cedar-crest-college-3243\%22,"#15, Regional Colleges (North)",61.21%,3.3,1110 / 23
Cedarville University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cedarville-university-3025\%22,"#5, Regional Colleges (Midwest)",75.38%,3.7,1300 / 29
Centenary College,http://premium.usnews.com/best-colleges/\%22/best-colleges/centenary-college-2599\%22,"RNP, Regional Universities (North)",89.15%,2.9,990 / 22
Centenary College of Louisiana,http://premium.usnews.com/best-colleges/\%22/best-colleges/centenary-college-of-louisiana-2003\%22,"#167, National Liberal Arts Colleges",64.09%,3.5,1400 / 28
Central Baptist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-baptist-college-1093\%22,"RNP, Regional Colleges (South)",75.28%,3.4,970 / 23
Central Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-bible-college-2452\%22,Unranked,N/A,N/A,N/A
Central Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-christian-college-1908\%22,"RNP, Regional Colleges (Midwest)",N/A,N/A,N/A
Central College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-college-1850\%22,"#134, National Liberal Arts Colleges",65.40%,3.6,1120 / 26
Central Connecticut State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-connecticut-state-university-1378\%22,"#116, Regional Universities (North)",63.96%,3,1110
Central Methodist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-methodist-university-2453\%22,"#40, Regional Colleges (Midwest)",66.74%,3.4,N/A / 24
Central Michigan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-michigan-university-2243\%22,"#190, National Universities",63.78%,3.3,1160 / 25
Central Penn College,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-penn-college-4890\%22,"Unranked, Regional Colleges (North)",42.26%,N/A,N/A
Central State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-state-university-3026\%22,"RNP, Regional Colleges (Midwest)",36.73%,2.4,890 / 18
Central Washington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/central-washington-university-3771\%22,"#51, Regional Universities (West)",80.17%,3.1,1110 / 24
Centre College,http://premium.usnews.com/best-colleges/\%22/best-colleges/centre-college-1961\%22,"#49, National Liberal Arts Colleges",69.63%,3.7,1390 / 31
Chadron State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/chadron-state-college-2539\%22,"#67, Regional Colleges (Midwest)",N/A,N/A,N/A
Chamberlain College of Nursing,http://premium.usnews.com/best-colleges/\%22/best-colleges/chamberlain-college-of-nursing-6385\%22,Unranked,N/A,N/A,N/A
Chaminade University of Honolulu,http://premium.usnews.com/best-colleges/\%22/best-colleges/chaminade-university-of-honolulu-1605\%22,"#80, Regional Universities (West)",87.37%,3.3,1050 / 24
Champlain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/champlain-college-3684\%22,"#14, Regional Colleges (North)",73.94%,3,1230 / 28
Chancellor University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chancellor-university-3043\%22,"RNP, Regional Colleges (Midwest)",100.00%,N/A,N/A
Chapman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chapman-university-1164\%22,"#7, Regional Universities (West)",43.59%,3.7,1310 / 29
Charles R. Drew University of Medicine and Science,http://premium.usnews.com/best-colleges/\%22/best-colleges/charles-r-drew-university-of-medicine-and-science-10365\%22,Unranked,N/A,N/A,N/A
Charleston Southern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/charleston-southern-university-3419\%22,"RNP, Regional Universities (South)",82.22%,3.5,1100 / 24
Charter Oak State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/charter-oak-state-college-32343\%22,"Unranked, National Liberal Arts Colleges",N/A,N/A,N/A
Chatham University,http://premium.usnews.com/best-colleges/\%22/best-colleges/chatham-university-3244\%22,"#48, Regional Universities (North)",59.56%,3.6,1170 / 28
